"Assay_Type"	"AvgSpotLen"	"BioSample"	"BioSampleModel"	"DATASTORE_filetype"	"DATASTORE_provider"	"DATASTORE_region"	"Experiment"	"Instrument"	"LibraryLayout"	"LibrarySelection"	"Library_Name"	"LoadDate"	"MBases"	"MBytes"	"ReleaseDate"	"Run"	"SRA_Sample"	"Sample_Name"	"rural_urban_status"	"sequencing_type"	"subject_id"	"timepoint"	"BioProject"	"Center_Name"	"Consent"	"InsertSize"	"LibrarySource"	"Organism"	"Platform"	"SRA_Study"	"collection_date"	"env_biome"	"env_feature"	"env_material"	"geo_loc_name"	"host"	"lat_lon"
"AMPLICON"	500	"SAMN05935648"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265372"	"Illumina MiSeq"	"PAIRED"	"PCR"	"031A"	"2016-10-24"	33	23	"2017-11-07"	"SRR4446532"	"SRS1757087"	"031A"	"rural"	"16S rRNA sequencing"	31	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935649"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265373"	"Illumina MiSeq"	"PAIRED"	"PCR"	"031B"	"2016-10-24"	35	23	"2017-11-07"	"SRR4446533"	"SRS1757088"	"031B"	"rural"	"16S rRNA sequencing"	31	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935650"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265374"	"Illumina MiSeq"	"PAIRED"	"PCR"	"034A"	"2016-10-24"	90	64	"2017-11-07"	"SRR4446534"	"SRS1757086"	"034A"	"rural"	"16S rRNA sequencing"	34	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935651"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265375"	"Illumina MiSeq"	"PAIRED"	"PCR"	"034B"	"2016-10-24"	55	37	"2017-11-07"	"SRR4446535"	"SRS1757091"	"034B"	"rural"	"16S rRNA sequencing"	34	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935696"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265376"	"Illumina MiSeq"	"PAIRED"	"PCR"	"120A"	"2016-10-24"	47	28	"2017-11-07"	"SRR4446536"	"SRS1757089"	"120A"	"urban"	"16S rRNA sequencing"	120	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935697"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265377"	"Illumina MiSeq"	"PAIRED"	"PCR"	"120B"	"2016-10-24"	54	35	"2017-11-07"	"SRR4446537"	"SRS1757090"	"120B"	"urban"	"16S rRNA sequencing"	120	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935654"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265378"	"Illumina MiSeq"	"PAIRED"	"PCR"	"037A"	"2016-10-24"	36	22	"2017-11-07"	"SRR4446538"	"SRS1757092"	"037A"	"rural"	"16S rRNA sequencing"	37	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935655"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265379"	"Illumina MiSeq"	"PAIRED"	"PCR"	"037B"	"2016-10-24"	38	26	"2017-11-07"	"SRR4446539"	"SRS1757093"	"037B"	"rural"	"16S rRNA sequencing"	37	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935692"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265380"	"Illumina MiSeq"	"PAIRED"	"PCR"	"118A"	"2016-10-24"	38	23	"2017-11-07"	"SRR4446540"	"SRS1757094"	"118A"	"urban"	"16S rRNA sequencing"	118	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935693"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265381"	"Illumina MiSeq"	"PAIRED"	"PCR"	"118B"	"2016-10-24"	53	35	"2017-11-07"	"SRR4446541"	"SRS1757095"	"118B"	"urban"	"16S rRNA sequencing"	118	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
